Aesculus turbinata; Japanese Horse Chestnut; Height: 20m, growing at a medium rate. Hardiness: 5-7. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 5
Aesculus x carnea; Red Horse Chestnut; Height: 25m, growing slowly. Hardiness: 5-7. Light: semi-shade or full sun. Water preference: moist.; Ruby Red Horsechestnut; uncategorised; 5
Afraegle paniculata; Nigerian Powder-Flask Fruit. African afraegle; Height: 12m, growing fast. Hardiness: 10-12. Light: full sun. Water preference: dry - moist.; ; uncategorised; 10
Afzelia africana; African Mahogany; Height: 8m, growing at a medium rate. Hardiness: 10-12. Light: full sun. Water preference: unknown moisture.; ; uncategorised; 10
Afzelia xylocarpa; Makha Tree; Height: 20m, growing at a medium rate. Hardiness: 10-12. Light: full sun. Water preference: moist.; Cambodia Beng Tree; uncategorised; 10
Agathis dammara; Amboina Pine; Height: 50m, growing at a medium rate. Hardiness: 10-11. Light: full shade or semi-shade or full sun. Water preference: moist.; ; uncategorised; 10
Agathis macrophylla; Dakua; Height: 30m, growing fast. Hardiness: 10-12. Light: full shade or semi-shade or full sun. Water preference: moist.; ; uncategorised; 10
Agathis moorei; Pacific Kauri; Height: 25m, growing at a medium rate. Hardiness: 10-12. Light: full shade or semi-shade or full sun. Water preference: moist.; Moore Kauri; uncategorised; 10
Agathis robusta; Queensland Kauri; Height: 45m. Hardiness: 8-11. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 8
Ageratina ligustrina; ; Height: 5m. Hardiness: 9-11. Light: full sun. Water preference: moist.; ; uncategorised; 9
Ailanthus altissima; Tree Of Heaven; Height: 25m, growing fast. Hardiness: 5-8. Light: semi-shade or full sun. Water preference: unknown moisture.; ; uncategorised; 5
Akebia quinata; Akebia; Height: 12m, growing fast. Hardiness: 4-9. Light: full shade or semi-shade or full sun. Water preference: moist.; Chocolate vine, Fiveleaf Akebia, Chocolate Vine; Food forest; 4
Akebia trifoliata; Akebia; Height: 9m, growing fast. Hardiness: 5-8. Light: full shade or semi-shade or full sun. Water preference: moist.; Threeleaf Akebia; Food forest; 5
Akebia x pentaphylla; Five Leaved Akebia; Height: 9m. Hardiness: 4-8. Light: full shade or semi-shade or full sun. Water preference: moist.; ; Food forest; 4
Alangium chinense; ; Height: 8m, growing slowly. Hardiness: 8-11. Light: full sun. Water preference: moist.; ; uncategorised; 8
Alangium platanifolium; Alangium; Height: 3m. Hardiness: 6-10. Light: full sun. Water preference: moist.; ; uncategorised; 6
Albizia julibrissin; Mimosa; Height: 12m, growing fast. Hardiness: 6-9. Light: full sun. Water preference: dry - moist.; Silktree, Mimosa Tree,; uncategorised; 6
Albizia lebbeck; Siris Tree; Height: 15m, growing fast. Hardiness: 10-11. Light: full sun. Water preference: moist.; Woman's Tongue, East Indian Walnut; uncategorised; 10
Albizia lucidior; Potka siris tree; Height: 15m, growing fast. Hardiness: 10-12. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 10
Albizia procera; White Siris; Height: 25m, growing fast. Hardiness: 10-12. Light: full sun. Water preference: moist.; Tall Albizia, Forest Siris; uncategorised; 10
Alchornea castaneifolia; Iporuru; Height: 8m, growing fast. Hardiness: 10-12. Light: semi-shade or full sun. Water preference: unknown moisture.; ; uncategorised; 10
Alchornea cordifolia; Christmas Bush; Height: 8m, growing at a medium rate. Hardiness: 10-12. Light: full sun. Water preference: unknown moisture.; ; uncategorised; 10
Aleurites cordata; Japan Wood-Oil Tree; Height: 7m. Hardiness: 9-11. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 9
Aleurites fordii; Tung Tree; Height: 7m, growing fast. Hardiness: 8-10. Light: semi-shade or full sun. Water preference: moist.; Tung Oil Tree, Wood Oil Tree China; uncategorised; 8
Aleurites moluccanus; Candle Nut; Height: 20m, growing fast. Hardiness: 10-12. Light: full sun. Water preference: dry - moist.; Country Walnut; Food forest; 10
Alhagi maurorum; Camel Thorn; Height: 2m. Hardiness: 6-10. Light: full sun. Water preference: dry - moist.; ; uncategorised; 6
Allanblackia floribunda; Vegetable Tallow. Tallow tree; Height: 25m, growing fast. Hardiness: 10-12. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 10
