treeId;latinName;latitude;longitude;datePlanted;notes;Origin;Rootstock;Variety
105;Juglans regia;45.10502339;1.92785515;1570376705467;local tree;Argentat;Rootstock;Variety
106;Juglans regia;45.10503822;1.92786644;1570376735773;local tree;Argentat;Rootstock;Variety
107;Juglans regia;45.10503122;1.92788762;1570376761591;local tree;Argentat;Rootstock;Variety
108;Juglans regia;45.10498359;1.92780356;1570376794274;local tree;Argentat;Rootstock;Variety
109;Juglans regia;45.10497723;1.92783889;1570376827977;local tree;Argentat;Rootstock;Variety
110;Juglans regia;45.10498556;1.92786556;1570376861756;local tree;Argentat;Rootstock;Variety
111;Juglans regia;45.10496512;1.92784496;1570376896236;local tree;Argentat;Rootstock;Variety
112;Juglans regia;45.10495017;1.92785585;1570376923375;local tree;Argentat;Rootstock;Variety
113;Juglans regia;45.10493329;1.92784387;1570376952047;local tree;Argentat;Rootstock;Variety
114;Juglans regia;45.10490875;1.92785096;1570376986377;local tree;Argentat;Rootstock;Variety
115;Juglans regia;45.10490731;1.92783913;1570377015399;local tree;Argentat;Rootstock;Variety
116;Juglans regia;45.10488093;1.92789105;1570377040683;local tree;Argentat;Rootstock;Variety
117;Juglans regia;45.10488657;1.92785512;1570377072884;local tree;Argentat;Rootstock;Variety
118;Juglans regia;45.10486317;1.92787983;1570377099990;local tree;Argentat;Rootstock;Variety
119;Juglans regia;45.10484983;1.92786585;1570377128658;local tree;Argentat;Rootstock;Variety
120;Juglans regia;45.10482584;1.92785529;1570377167010;local tree;Argentat;Rootstock;Variety
121;Juglans regia;45.10480343;1.9278585;1570377203196;local tree;Argentat;Rootstock;Variety
122;Juglans regia;45.10478019;1.92786793;1570377243114;local tree;Argentat;Rootstock;Variety
123;Juglans regia;45.1047746;1.92785288;1570377277487;local tree;Argentat;Rootstock;Variety
124;Juglans regia;45.10477259;1.92788455;1570377300079;local tree;Argentat;Rootstock;Variety
125;Juglans regia;45.10474965;1.92787101;1570377325226;local tree;Argentat;Rootstock;Variety
126;Juglans regia;45.10473955;1.92787574;1570377358274;local tree;Argentat;Rootstock;Variety
127;Juglans regia;45.1047216;1.92787518;1570377386478;local tree;Argentat;Rootstock;Variety
128;Juglans regia;45.10470233;1.92784938;1570377411758;local tree;Argentat;Rootstock;Variety
129;Juglans regia;45.10468129;1.92788617;1570377450513;local tree;Argentat;Rootstock;Variety
130;Juglans regia;45.1047031;1.92789318;1570377472202;local tree;Argentat;Rootstock;Variety
131;Juglans regia;45.10465802;1.92784972;1570377495871;local tree;Argentat;Rootstock;Variety
132;Juglans regia;45.1046232;1.92786426;1570377521956;local tree;Argentat;Rootstock;Variety
133;Juglans regia;45.1046054;1.9279015;1570377546055;local tree;Argentat;Rootstock;Variety
134;Juglans regia;45.10460575;1.92787202;1570377582697;local tree;Argentat;Rootstock;Variety
135;Juglans regia;45.1045716;1.92787671;1570377618836;local tree;Argentat;Rootstock;Variety
136;Juglans regia;45.10455995;1.92791118;1570377644442;local tree;Argentat;Rootstock;Variety
137;Juglans regia;45.10456812;1.92788654;1570377670145;local tree;Argentat;Rootstock;Variety
138;Juglans regia;45.10454798;1.92800516;1570377714789;local tree;Argentat;Rootstock;Variety
139;Juglans regia;45.10460153;1.92801745;1570377741477;local tree;Argentat;Rootstock;Variety
140;Juglans regia;45.10463245;1.92802314;1570377776737;local tree;Argentat;Rootstock;Variety
141;Juglans regia;45.10463945;1.92804167;1570377809668;local tree;Argentat;Rootstock;Variety
142;Juglans regia;45.10465818;1.92807389;1570377844207;local tree;Argentat;Rootstock;Variety
143;Juglans regia;45.10465683;1.92804489;1570377874260;local tree;Argentat;Rootstock;Variety
144;Juglans regia;45.10468405;1.92804591;1570377908671;local tree;Argentat;Rootstock;Variety
145;Juglans regia;45.10472769;1.9280494;1570377952046;local tree;Argentat;Rootstock;Variety
146;Juglans regia;45.10474861;1.92802699;1570377984197;local tree;Argentat;Rootstock;Variety
147;Juglans regia;45.10476946;1.92802293;1570378008288;local tree;Argentat;Rootstock;Variety
148;Juglans regia;45.10478597;1.92801909;1570378039005;local tree;Argentat;Rootstock;Variety
149;Juglans regia;45.10479358;1.92802138;1570378063565;local tree;Argentat;Rootstock;Variety
150;Juglans regia;45.10483139;1.92806368;1570378086778;local tree;Argentat;Rootstock;Variety
151;Juglans regia;45.10483485;1.92803185;1570378112526;local tree;Argentat;Rootstock;Variety
